id,text,source,created_at
805198542591717000,@OurbabyMinx @WildWhiskeyRant killed and tried to go to Canada illegally and see what there immigration policy is. You don't have a cont.,Twitter for iPhone,12/3/16 23:54
805194503892176000,https://t.co/t1ggH7wnFk,Twitter for Android,12/3/16 23:38
805191397666131000,L‰Ûªimmigration irrÌ©guliÌ¬re au Canada dÌ©cortiquÌ©e en 5åÊquestions https://t.co/SfAdfzTfb7,Facebook,12/3/16 23:26
805189879424581000,Reminds me of Liberal Immigration Fraudster Monsef avoiding deportation from Canada. #cdnpoli #LPC #CPCLDR‰Û_ https://t.co/ZOZOSe1CqQ,Twitter for iPhone,12/3/16 23:20
805187745207480000,#immigration #integration #canada https://t.co/M5cKGyvV8F,Facebook,12/3/16 23:11
805181416778543000,We want controlled immigration that contributes positively to the UK economy. Same as Australia &amp; Canada. https://t.co/99mYliuOes,Tweetbot for iëÙS,12/3/16 22:46
805177069600731000,Is the new Manitoba immigration fee a head tax? https://t.co/LsG7C3vLe9,Facebook,12/3/16 22:29
805176811873144000,Canada immigration profit influence modernistic delhi yet abhinav: XKofy https://t.co/becgusY2i6,dlvr.it,12/3/16 22:28
805176384708575000,Canada Immigration Minister to ‰ÛÏSubstantially Increase  Immigration Numbers https://t.co/nEFw30MRaa https://t.co/cyI867PZRV,Spokal,12/3/16 22:26
805172274999554000,MÌ»me les #USA=pays d'immigration par excellence CONTRÌÓLE RIGOUREUSEMENT l'immigration et accÌ¬s ÌÊ la #GreenCARD!‰Û_ https://t.co/IHpVhW2BaG,Twitter Web Client,12/3/16 22:10
805171691315818000,@Shawhelp what changes should be made to Canada's immigration laws due to the influx of immigration and violence?,Twitter for Android,12/3/16 22:07
805167260843151000,L‰Ûªimmigration irrÌ©guliÌ¬re au Canada dÌ©cortiquÌ©e en 5 questions https://t.co/f4utO5A7ZF,newsquebec.ca,12/3/16 21:50
805164501809041000,L'immigration irrÌ©guliÌ¬re au Canada dÌ©cortiquÌ©e en 5 questions - https://t.co/UiBsEZOqas https://t.co/j77dEvjoiX https://t.co/XXDeIG7Dbu,dlvr.it,12/3/16 21:39
805164015559315000,Will Media ask the Liberals if they actually have a solid plan for Canada _Ùà¬_Ùà_?? From my view -- immigration out of C‰Û_ https://t.co/YAgwmZ8ECp,Twitter for iPhone,12/3/16 21:37
805161770260131000,Dan Murray ofåÊImmigration Watch Canada is xenophobic racist fear-mongering liar #racism #canada #cdnpoli #hatecrime‰Û_ https://t.co/kwZ3csvYxM,Twitter for Android,12/3/16 21:28
805158402271969000,Le Canada lance une vaste campagne d'immigration pour faire face ÌÊ son besoin de main d'ÅÒuvre https://t.co/kXdfMGTZzN,Twitter for iPhone,12/3/16 21:14
805158302749523000,L‰Ûª#immigration irrÌ©guliÌ¬re au #Canada dÌ©cortiquÌ©e en 5åÊquestions https://t.co/s3hu1OKKIG,Twitter Web Client,12/3/16 21:14
805158164433924000,@Canadidly I've read the Immigration laws of Canada much stricter than the US,Twitter for iPhone,12/3/16 21:14
805152723360477000,"Canada Immigration Website Traffic Surges And Crashes In Wake Of Trump #fasttraffic,#sitetraffic,#website,#traffic https://t.co/zRlJ26jnkC",SocialCloudSuite,12/3/16 20:52
805149160294862000,Mr Know-all of Canada Immigration https://t.co/wTQK4QDiKI,Twitter for iPhone,12/3/16 20:38
805145129287876000,"Move to Canada @LadyMadonna___ Oh, immigration rules, you can't... https://t.co/5LIEVHO7A4",Twitter for iPad,12/3/16 20:22
805140858290978000,#OnThisDay Annette Toft becomes Canada's 2 millionth immigrant since 1945. Do you know your family's immigration st‰Û_ https://t.co/UvRuw8eR1b,Hootsuite,12/3/16 20:05
